Absolute_Magnitude,Est_Dia_In_Km_Min,Est_Dia_In_Km_Max,Close_Approach_Date,Relative_Velocity_Km_Per_Hr,Miss_Dist_Kilometers,Minimum_Orbit_Intersection,Jupiter_Tisserand_Invariant,Epoch_Osculation,Eccentricity,Semi_Major_Axis,Inclination,Asc_Node_Longitude,Orbital_Period,Perihelion_Distance,Perihelion_Arg,Aphelion_Dist,Perihelion_Time,Mean_Anomaly,Mean_Motion,Hazardous
16.53,1.313877806,2.9379200884,1950-11-30,88541.2195562376,24419349.95392851,0.0535036,4.13,2461000.5,0.5189164026870042,1.571010365237708,29.50239040868095,65.60551424465214,719.2286891386725,0.7557873179245601,278.9559739302916,2.386233412550856,2460901.8968769363,49.35443321289006,0.5005362069623858,0
17.42,0.8720772891,1.9500241,1901-09-16,123288.2935552764,15540706.825084403,0.0910777,4.516,2461000.5,0.7412659533832217,1.296063687736956,41.52779657548514,272.1417260399077,538.936926610192,0.3353358026012473,244.2739575676741,2.256791572872665,2460875.4817445297,83.50990579257697,0.66798169178039,0
18.46,0.5402004935,1.207925025,1903-04-26,49668.6864444775,22534320.495779596,0.0265458,5.126,2461000.5,0.354577958049146,1.229410307612958,10.38878379274876,241.0040855110551,497.9018063710059,0.7934885111349832,245.9114837345647,1.665332104090933,2461003.4217992565,357.8874394129777,0.7230341312153225,1
17.67,0.777239702,1.7379608086,1903-11-08,42102.9072122702,16730314.757083677,0.112122,4.05,2461000.5,0.4097305454850236,1.700824830232267,18.27357811883312,214.4061379486901,810.1917341761218,1.003944944766727,232.8930062788136,2.397704715697806,2461025.016200322,349.1064895584078,0.4443392654037398,0
21.19,0.1536579294,0.3435895754,1900-10-22,27220.373356236,21568609.44261835,0.00309384,6.042,2461000.5,0.1359381417672083,1.001121918941717,13.65286425527788,38.38660988180801,365.8717536503626,0.8650312655983584,279.3409782842712,1.137212572285076,2460901.582698885,97.32981036682584,0.9839513337890148,1
20.85,0.1797028549,0.4018277992,1919-08-30,28591.971973348,66452007.17658264,0.0939084,4.922,2461000.5,0.2470065823760992,1.304206646596752,16.10950054783224,0.9370205831502816,544.023976559024,0.9820590201086952,67.2294329057835,1.626354273084809,2460955.589767587,29.71869690558115,0.6617355401815487,0
16.67,1.2318419127,2.7544822542,1903-07-04,39554.1074051258,65358428.98961548,0.281591,3.093,2461000.5,0.5473533178594843,2.7227308356201,12.61816974777776,63.46696697860074,1640.988326720512,1.232435079105112,236.4931481958764,4.213026592135087,2460695.913119274,66.82026634550252,0.2193799883509555,0
17.36,0.8965096664,2.0046565566,1915-10-23,65860.8553195837,56569366.36682884,0.14698,3.619,2461000.5,0.4509874673582207,1.907608866166004,34.47696800524756,18.11244120595619,962.3486142617908,1.047301174903711,46.19534170934382,2.767916557428296,2461257.395226005,263.8993977948022,0.3740848115380234,0
19.29,0.3685996993,0.8242139842,1907-08-31,35420.9176688938,25730904.295074,0.0719113,4.422,2461000.5,0.4714706426853039,1.494988343200348,5.058612563011229,29.75000062577455,667.6596591933707,0.7901452282246423,349.7217605041126,2.199831458176054,2461252.398900914,224.1769004906126,0.5391968723030713,0
18.27,0.5895966084,1.3183780956,1907-05-23,40011.3285089713,16353107.632383084,0.0929056,4.39,2461000.5,0.4107994433334684,1.525979817995113,7.207516735869323,114.3255552951011,688.5280086759444,0.8991081582246133,180.98935022,2.152851477765613,2461143.5534311384,285.2038630804077,0.5228545468938707,0
20.08,0.2561857545,0.5728487619,1901-03-31,60156.230337958,25754647.13757936,0.0422497,4.213,2461000.5,0.4731023371285258,1.608941003164696,2.953857775840432,268.4503246403436,745.4329853117196,0.8477472542655632,353.8332273664475,2.370134752063828,2460980.916788391,9.45753182145845,0.4829407969509933,1
15.48,2.1308602925,4.7647484646,1910-06-17,32452.2242469486,128282281.19443063,0.157356,2.634,2461000.5,0.6962627363323614,2.752303672684138,44.61199889072562,193.4016681873414,1667.796090070269,0.8359771863234722,190.668238393024,4.668630159044802,2461258.857134685,304.2326498783144,0.2158537258501621,0
16.68,1.2261821132,2.7418265579,1943-09-24,38145.9286836205,14692652.28262969,0.278515,3.24,2461000.5,0.504264209693153,2.511964977090422,13.06584420883489,211.4757283671963,1454.182107965821,1.245270943141041,212.0219599667663,3.778659011039803,2460329.368010016,166.1466710879794,0.2475618411394052,0
17.56,0.8176265334,1.8282685088,1901-08-25,32085.4128971268,18083453.20710753,0.0178801,7.056,2461000.5,0.2094327280704975,0.8278931019096291,8.548088614242213,273.6272001763137,275.1438582195714,0.6545051910259491,327.0192362608489,1.001281012793309,2461052.549148754,291.8985578206632,1.308406454461765,1
19.05,0.4116754573,0.9205343072,1900-05-02,40543.2867766856,26363147.648765247,0.0844775,4.407,2461000.5,0.4080326436615376,1.512044888761397,11.02864385867427,345.6017614303805,679.1183314651702,0.8950812154651685,189.6610453654191,2.129008562057625,2461249.506591589,228.0018358822326,0.530099075993597,0
17.16,0.9830033019,2.1980622051,1964-08-20,93865.6107435031,28418069.25940071,0.161906,3.328,2461000.5,0.4160989222019443,2.012556292089163,48.93495961253475,144.9541851047937,1042.846725473039,1.175133788080121,179.1267658876394,2.849978796098205,2460534.7285449333,160.7884646210993,0.3452089278380798,0
17.37,0.8923905787,1.9954459964,1929-12-09,32317.2120996909,17003964.506571848,0.0498015,4.131,2461000.5,0.4679192924774884,1.656720726694611,6.625818078513505,218.9516123513208,778.8832874705059,0.8815091364268782,203.0754481784098,2.431932316962344,2461012.2054651026,354.5897318575241,0.4622001855619892,1
